"model","pk","fields__user","fields__product","fields__rating","fields__created_at","fields__name","fields__description","fields__price","fields__image_url","fields__image","fields__category","fields__subcategory"
"products.category","1","","","","","meat","","","","","",""
"products.category","2","","","","","dairy&eggs","","","","","",""
"products.category","3","","","","","fresh produce","","","","","",""
"products.subcategory","1","","","","","beef","","","","","1",""
"products.subcategory","2","","","","","lamb","","","","","1",""
"products.subcategory","3","","","","","chicken","","","","","1",""
"products.subcategory","4","","","","","fresh milk","","","","","2",""
"products.subcategory","5","","","","","farmhouse cheeses","","","","","2",""
"products.subcategory","6","","","","","butter","","","","","2",""
"products.subcategory","7","","","","","eggs","","","","","2",""
"products.subcategory","8","","","","","vegetables","","","","","3",""
"products.subcategory","9","","","","","greens","","","","","3",""
"products.subcategory","10","","","","","fruits","","","","","3",""
"products.subcategory","11","","","","","berries","","","","","3",""
"products.product","1","","","","","Apples","Apples from Golden Hoof farm are the perfect balance of sweet and tart, grown with care and attention. Each apple is handpicked at its peak of ripeness, ensuring the finest quality for our customers. These apples are nurtured with the highest-quality soil and organic fertilizers, ensuring a crisp texture and full flavor in every bite. We pride ourselves on sustainable farming practices, using natural methods to grow our apples without harmful chemicals. Whether you're enjoying them fresh, baking them into a pie, or making a refreshing juice, Golden Hoof apples will bring a taste of nature's bounty to your table.","3.50","null","apples.jpeg","3","10"
"products.product","2","","","","","Blackberry","At Golden Hoof, our blackberries are grown in the most fertile, nutrient-rich soil, ensuring the perfect balance of sweetness and tang. Each berry is carefully picked by hand to ensure it meets our high standards. We cultivate our blackberries with love and care, using sustainable farming methods and natural fertilizers to encourage growth. These blackberries are perfect for jams, pies, smoothies, or simply enjoying on their own. Full of vitamins, antioxidants, and fiber, Golden Hoof blackberries not only taste great but are also packed with health benefits.","4.00","null","blackberry.jpeg","3","11"
"products.product","3","","","","","Butter 82%","Golden Hoof butter is crafted from the freshest cream, churned with care to create a rich, creamy spread that brings flavor to any meal. Our cows are pasture-raised and graze freely on lush, green grass, which imparts a unique, natural flavor to the butter. At Golden Hoof, we believe in sustainable farming practices, and we use only the best ingredients to create our butter. ItÆs perfect for spreading on bread, baking, or adding to your favorite dishes for that extra richness and flavor. We pride ourselves on offering a product made with love and care for the environment and animals.","12.00","null","butter-1.jpeg","2","6"
"products.product","4","","","","","Cucumbers","Golden Hoof cucumbers are grown in rich, organic soil, ensuring they are crisp, refreshing, and full of flavor. We use only the finest natural fertilizers and sustainable farming practices to grow our cucumbers, ensuring they are as fresh as possible when they reach your table. These cucumbers are perfect for salads, sandwiches, or just as a refreshing snack. Their high water content makes them incredibly hydrating and ideal for hot days. At Golden Hoof, we nurture our crops with care, allowing them to grow to their full potential, ensuring you get the highest-quality produce.","2.00","null","cucumbers.jpeg","3","8"
"products.product","5","","","","","Edam cheese","Golden Hoof Edam cheese is a semi-hard cheese made from the finest milk, offering a smooth texture and a mild, slightly nutty flavor. Our cows are raised on lush, green pastures, grazing on nutrient-rich grasses, which results in milk that makes this cheese so special. The cheese is carefully aged to perfection to achieve the best flavor. Golden Hoof Edam cheese is versatile, perfect for slicing, melting on sandwiches, or enjoying with crackers. We produce this cheese with dedication to quality and sustainability, ensuring every bite is full of flavor and love.","6.50","null","edamer-cheese.jpeg","2","5"
"products.product","6","","","","","Chicken eggs","Our eggs come from free-range chickens that roam freely on Golden Hoof farm, where they are treated with care and respect. The hens are given access to fresh air, sunlight, and natural feed, producing eggs with deep yellow yolks and rich, wholesome flavor. Each egg is hand-collected daily to ensure the highest quality. At Golden Hoof, we pride ourselves on providing eggs that not only taste great but are also produced sustainably and humanely. They are perfect for breakfast, baking, or adding to any dish for an extra boost of protein and nutrition.","3.00","null","eggs-chicken.jpeg","2","7"
